,label,"First 5 Principal Components of Local Phase Quantization (LPQ) features
Local Phase Quantization (LPQ) features",,,,,First 5 Principal Components of Pyramid of Histogram of Gradients (PHOG) features,,,,
OrangeAndSunshine_000941320_00000033.mat,2,-0.0016232,0.02992,-0.0024979,0.0026657,0.0021982,0.012656,0.0034334,0.0067863,-0.00088066,-0.0014221
PrettyInPink_003845400_00000009.mat,2,-0.0048051,-0.0080688,-0.016213,0.0020449,-0.0048035,-0.0021213,0.0035283,0.011736,-0.0036367,-0.0031374
Terminal_004946320_00000067.mat,2,-0.00028844,-0.025262,0.0044334,0.0099286,-0.0037223,-0.0060021,0.0080439,-0.010324,-0.00090835,0.0071644
TheShining_000745280_00000062.mat,2,-0.0032452,-0.012286,0.0011562,0.0019378,0.0063835,-0.0029618,-0.0026579,-0.0085274,0.0025516,-0.0045897
TheShining_000808160_00000077.mat,2,0.00033597,-0.004446,-0.0040537,-0.0089492,0.0066344,-0.0069343,-0.00052136,-0.0015514,0.0010928,-0.0046691
TheShining_005047920_00000015.mat,2,-0.0019997,0.0052943,0.0030536,-0.0077476,0.0036006,0.009878,0.0039929,0.0065915,0.0019665,-0.00011925
ThereIsSomethingAboutMary_001604560_00000001.mat,2,-0.0054901,-0.00010238,-0.0074095,0.0052855,0.014815,-0.0060005,-0.0047311,0.001508,-0.00055293,-0.0033916
ThereIsSomethingAboutMary_001604560_00000007.mat,2,-0.0032942,0.0062278,-0.0017888,-0.00075047,0.016717,-0.0040741,-0.010337,0.0064753,-0.00057969,0.00019557
ThereIsSomethingAboutMary_002123400_00000001.mat,2,-0.0039183,-0.020004,-0.00027557,0.00090478,0.0061498,-0.0010593,0.0045314,-0.0090199,-0.0065742,-0.0047141
ThereIsSomethingAboutMary_002123400_00000016.mat,2,-0.0039004,-0.015755,-0.0015366,-0.0016633,0.0033906,0.0037672,0.008508,0.00019411,-0.0088646,-0.00563
ThereIsSomethingAboutMary_014003120_00000019.mat,2,-0.00013283,-0.0037666,0.013557,-0.0077676,0.00026306,0.0046748,-0.01368,0.0020179,0.0022388,0.0044138
Town_001059240_00000092.mat,2,-0.0011898,0.0023619,0.0030435,-0.0013338,-0.0021178,0.0073274,0.01203,0.0037254,-0.0074333,-0.00033187
YouveGotAMail_004825734_00000046.mat,2,-0.0031523,-0.01735,-0.0044294,0.00017089,0.0018514,0.010144,-0.0039481,-0.00023932,0.0049061,-0.0019141
21_012152480_00000001.mat,3,-0.0024122,-0.0091589,0.0086572,0.00039958,0.0045942,-0.0063806,-0.010361,-0.0067243,0.00068238,-0.00029369
21_014735000_00000001.mat,3,-0.0028455,0.014855,0.0046833,0.01032,-0.014378,0.0084685,0.0011077,-0.0051745,0.020399,-0.0038711
21_014735000_00000003.mat,3,-0.002588,0.013727,0.0036339,0.011717,-0.01384,0.0073636,-6.40E-05,-0.0067624,0.019907,-0.0024256
21_014735000_00000008.mat,3,-0.0030974,0.01845,0.0021571,0.011252,-0.014325,0.006276,-0.00057245,-0.0093035,0.018602,-0.0014556
21_014735000_00000011.mat,3,-0.0033895,0.017254,0.0027836,0.012517,-0.015001,0.0067624,7.62E-05,-0.0082109,0.019386,-0.0022732
21_015145521_00000013.mat,3,-0.0055896,0.01459,-0.014797,0.0037863,-0.0055379,-0.0072807,0.0026193,0.0030722,-0.00082595,-0.0055587
21_015145521_00000023.mat,3,-0.006693,0.0089144,-0.023332,0.012551,-0.0019954,-0.013733,-0.0031411,-2.26E-05,-0.0010871,-0.01021
21_015145521_00000044.mat,3,-0.0063549,0.010144,-0.022731,0.013474,-0.003651,-0.014931,-0.0028243,0.00058319,-0.0012287,-0.010356
21_015145521_00000076.mat,3,-0.0073043,0.010877,-0.02561,0.01678,-0.0038507,-0.015211,-0.0023512,0.0010614,-0.00048839,-0.010926
AlexEmma_004108160_00000035.mat,3,-0.0036118,-0.020232,0.00073951,-0.0023191,-0.010067,0.0024913,0.013508,-0.0078044,-0.0057884,-0.00019741
AmericanHistoryX_003635200_00000003.mat,3,-0.0041146,-0.0010124,-0.0073748,0.0023909,0.0031609,-0.0042637,-0.0077602,-0.0037871,0.00063951,-0.0022119
Bridesmaids_001604640_00000016.mat,3,0.00028383,0.0012438,0.0068851,-0.0086995,0.0063275,-0.0009578,0.00063135,-0.0020432,0.0021337,0.0015831
Bridesmaids_001604640_00000024.mat,3,0.0014635,-0.00020304,0.008104,-0.012684,0.0054289,0.0010243,0.00067965,-0.0030074,0.0027508,0.0011259
ChangeUp_003339560_00000024.mat,3,-0.0011099,-0.0035422,0.00067777,-0.015853,-0.00033821,0.013718,0.0026476,0.0051272,0.00083077,-0.00080153
CryingGame_001143440_00000048.mat,3,0.0018088,-0.034702,0.043154,0.020407,-0.011857,-0.0045749,-0.0074938,0.0036475,-1.49E-05,0.00076205
DeepBlueSea_003259040_00000018.mat,3,-0.0067784,0.00081289,0.0085884,0.01148,-0.0080507,-0.0033851,-0.0051583,0.00070171,0.0040261,0.0053791
DeepBlueSea_004442200_00000001.mat,3,0.0028346,-0.010073,0.040385,-0.0061718,-0.005478,0.00020615,-0.0082574,0.001748,0.00081809,0.0028158
DeepBlueSea_004442200_00000013.mat,3,-0.00057886,0.0060967,0.013124,0.0028625,-0.0010235,0.0093379,-0.0069994,0.0023534,0.0042049,0.0025055
DeepBlueSea_004628560_00000015.mat,3,0.0019196,0.027086,0.010876,-0.0044416,-0.0060724,0.0045609,-0.0088208,0.00097229,0.00053135,0.00028836
DeepBlueSea_005814360_00000012.mat,3,-0.0047145,0.012113,-0.0034611,-0.0048672,-0.0032894,-0.0072022,0.0034095,-0.00054676,-0.0047846,-0.0051287
DeepBlueSea_005814360_00000026.mat,3,-0.0056242,0.013102,-0.0034561,-0.0029871,-0.0026183,7.32E-05,-0.0026217,0.0049873,-0.009454,-0.0047608
DeepBlueSea_005814360_00000032.mat,3,0.003136,-0.012027,-0.0028045,-0.015829,-0.0018823,-0.00061789,0.0053593,-0.0052183,-0.0056304,-0.0033846
DeepBlueSea_010340320_00000006.mat,3,-0.0016136,-0.02685,0.0049932,-0.010692,-0.0074574,-0.00025341,-0.0019298,-0.0011369,-0.0047644,-0.0019499
DeepBlueSea_010340320_00000019.mat,3,4.65E-05,-0.0238,0.011927,-0.01269,-0.0048923,0.00020707,-0.0044026,-0.0042266,-0.0038714,-0.001224
DeepBlueSea_012910320_00000018.mat,3,-0.0029157,-0.0034342,0.0044454,-0.0025253,0.0058222,-0.00082567,0.0045779,0.00073801,-0.0029128,-0.0025959
DidYouHearAboutTheMorgans_003731807_00000001.mat,3,-0.0038703,-0.0082856,0.0082241,-0.0001369,0.0022655,-0.011347,-0.00097304,0.0059664,-0.00049773,0.002044
DidYouHearAboutTheMorgans_003902287_00000011.mat,3,0.0028664,-0.010157,0.0021004,-0.016422,-0.0038663,-0.0020123,0.0057597,-0.0042984,0.0027122,0.00059697
DidYouHearAboutTheMorgans_003902287_00000012.mat,3,0.0034597,-0.011465,0.0039723,-0.01292,-0.0015897,-0.0032449,0.0058939,-0.0043554,0.00074873,0.0021477
ExtremelyLoudIncrediblyClose_002336640_00000052.mat,3,-0.0057154,-0.0056092,-0.02685,0.019728,-0.0046871,-0.016626,-0.00067171,0.00189,0.0046385,-0.006323
Hangover_001949614_00000060.mat,3,-0.00081357,0.032472,-0.0034606,-0.0076094,0.0044024,0.0061874,-0.00414,-0.0074455,0.0054496,0.002019
Hangover_010805134_00000002.mat,3,-0.00040946,-0.01333,0.020506,0.0053058,0.0057995,-0.001761,-0.010945,-0.0017868,0.00097151,-0.0035927
Hangover_010805134_00000008.mat,3,-0.0024717,0.0062467,0.004341,-0.0044007,-0.00064812,-0.0037549,-0.009376,0.0013072,-0.0029351,-0.0018868
Hangover_010805134_00000013.mat,3,-0.00069405,0.0015835,0.0057915,-0.00040078,0.00053128,-0.0051755,-0.0087165,0.0050241,-0.0028979,-0.0013702
Hangover_010805134_00000019.mat,3,-0.0018208,0.0015021,-0.0063501,-0.00017537,0.0042078,-0.0093714,-0.0085149,0.005786,-0.00071383,-0.0051255
HarryPotter_Deathly_Hallows_1_001610960_00000017.mat,3,-0.0036877,-0.018595,-0.01145,0.0028526,-0.0080134,-0.004823,0.013403,0.0017311,-0.0089975,0.00016327
HarryPotter_Deathly_Hallows_1_001610960_00000018.mat,3,-0.0042398,-0.01645,-0.013115,0.00063327,-0.0094535,-0.0017519,0.011071,-0.0011303,-0.0078104,-0.0030177
HarryPotter_Deathly_Hallows_1_001610960_00000028.mat,3,-0.0050116,0.01674,-0.0085784,0.017071,-0.0035114,-0.0035671,0.013202,0.0036993,0.0080616,-0.0075017
HarryPotter_Deathly_Hallows_1_004313680_00000006.mat,3,-0.0029777,-0.012536,-0.0089058,-0.0067012,-0.0047816,-0.00078866,-0.0019821,0.00053414,0.00023887,0.0055901
HarryPotter_Deathly_Hallows_1_010758520_00000028.mat,3,0.0015713,-0.0094797,-0.0054761,-0.010703,-0.0060103,-0.0090359,0.0068465,-0.0046917,-0.0021689,-0.0028056
HarryPotter_Deathly_Hallows_1_020238240_00000001.mat,3,-0.00084191,0.015357,0.0021523,0.00046075,0.0024472,-0.010042,-0.0032748,0.0029608,0.0035073,0.0015085
HarryPotter_Deathly_Hallows_2_001723920_00000023.mat,3,-0.0010727,-0.0015506,-0.0081609,-0.010058,0.0038597,-0.0050691,0.0011762,0.0061194,-0.0021257,0.00091242
HarryPotter_Deathly_Hallows_2_001729540_00000024.mat,3,-0.0023221,0.013044,-0.0032788,-0.0029662,-0.0006192,-0.0025974,-0.0012407,-0.0037675,0.00075669,-0.0026513
HarryPotter_GobletOfFire_000340094_00000030.mat,3,-0.0024209,0.0053373,-0.0044917,0.004481,-0.0060868,0.0084323,0.0098127,0.00089381,0.001356,0.00088745
HarryPotter_Half_Blood_Prince_004418334_00000001.mat,3,-0.0047974,-0.017219,-0.0063219,0.006189,-0.0087184,0.0073152,0.011635,0.010089,0.0034929,-0.0064183
HarryPotter_Half_Blood_Prince_004424374_00000028.mat,3,-0.0022871,-0.016623,-0.0058712,0.0011455,-0.0071651,-0.0059103,0.011679,-9.60E-05,-0.0061399,-0.0041016
HarryPotter_PhilosopherStone_000401054_00000052.mat,3,-0.0014445,-0.004797,0.012418,0.0047774,-0.0012443,-0.00062079,-0.00071916,-0.0083895,-2.04E-05,-0.0027522
HarryPotter_PhilosopherStone_000735094_00000001.mat,3,-0.0023942,-0.01916,0.0045945,0.0066969,-0.0033318,-0.0090986,-0.0028522,-0.013817,0.0040507,-0.0012115
HarryPotter_PhilosopherStone_000735094_00000006.mat,3,-0.0010148,-0.022456,0.012022,-0.00051842,0.00095514,-0.0072488,-0.0017338,-0.0058964,0.00077105,0.0028585
HarryPotter_PhilosopherStone_000738534_00000001.mat,3,-0.0033925,-0.0039797,0.0064734,-0.0063394,0.0013858,0.008405,-0.0064996,0.0070775,0.0058636,-0.0025664
HarryPotter_PhilosopherStone_001549894_00000042.mat,3,-0.00033016,0.0019888,0.00308,-0.0012166,-0.00037981,0.0066743,0.0012839,-0.0030245,0.0024765,-0.0041359
HarryPotter_PhilosopherStone_003314534_00000006.mat,3,-0.0035494,-0.0053257,0.0046192,0.0010577,-0.00086539,0.0093503,0.01453,-0.002727,0.0025747,0.0010442
HarryPotter_PhilosopherStone_003440294_00000032.mat,3,-0.0038788,0.0011182,-0.0029392,0.0074675,0.00049477,0.0030388,-0.0022792,-0.00053603,0.010372,-0.0046973
HarryPotter_PhilosopherStone_004331934_00000019.mat,3,-0.0036141,-0.011828,-0.0073281,0.0050951,-0.0059944,0.0013739,0.0056765,-0.0013175,-0.0023636,-0.0061012
HarryPotter_Prisoners_Of_Azkaban_001113440_00000010.mat,3,-0.0025634,-0.015229,-0.0040823,-0.013707,0.0042019,0.0040528,0.00095515,0.0038528,-0.0048591,-0.0018695
HarryPotter_Prisoners_Of_Azkaban_002021400_00000021.mat,3,-0.0033534,0.023374,0.0010929,-0.0095958,-0.0054498,-0.00028875,-0.00043158,0.0016695,0.0061451,0.012772
HarryPotter_Prisoners_Of_Azkaban_012430040_00000009.mat,3,-0.004869,0.01279,-0.0093474,-0.0036642,0.0041573,0.0038046,0.0049938,0.0020949,-0.010292,-0.0030053
HarryPotter_Prisoners_Of_Azkaban_012430040_00000022.mat,3,-0.0056474,0.018805,-0.0063635,-0.0034124,0.0026191,0.0064523,0.0076378,-0.00068339,-0.0075357,-0.0010772
HarryPotter_Prisoners_Of_Azkaban_012554740_00000026.mat,3,-0.0029274,0.0064516,0.0017541,-0.0091968,0.0040792,0.0066694,-0.0016629,-0.00016513,-0.00094322,0.0008327
HauntingMollyHartely_000633000_00000041.mat,3,-0.0032784,-0.010812,-0.0029511,-0.0019979,0.0032923,-0.0083808,0.0089262,-0.0061127,-0.0056536,-5.35E-05
JennifersBody_001759754_00000001.mat,3,-0.00296,0.0041848,0.0033927,-0.0077233,0.0087773,0.001146,-0.0029074,-0.0010784,-0.0090181,-0.0061016
JennifersBody_001759754_00000047.mat,3,-0.0023049,0.0121,0.003855,-0.005805,0.0075404,0.0020707,-0.00059678,0.0018397,-0.0094044,-0.0041219
JennifersBody_001759754_00000098.mat,3,-0.0018471,0.015058,-0.00027183,-0.0068472,0.0089693,0.0032661,-0.00078377,-0.0012482,-0.011939,-0.0059975
JennifersBody_001947263_00000001.mat,3,-0.0027974,0.012134,0.00059598,0.0052617,0.0047799,-0.0028389,0.00072763,-0.0045965,0.0014562,0.0098707
JennifersBody_001947263_00000009.mat,3,-0.0055094,0.006617,0.0048309,0.011935,-0.0027483,-0.0046997,-0.011179,-0.0030935,0.0037022,0.0010447
JennifersBody_002410291_00000003.mat,3,-0.0026501,0.017082,-0.00022895,0.010091,-0.00021934,-0.010467,-0.0012373,-0.0049176,0.0037052,0.0045088
JennifersBody_002410291_00000020.mat,3,-0.0021187,0.015498,0.0083982,0.0013655,0.00058868,-0.0061755,-0.0067507,0.0017574,0.001186,0.0023055
JennifersBody_005841913_00000031.mat,3,-0.0026219,0.0090045,-0.0012318,0.0055852,-0.0042499,0.0016748,0.0056551,-0.0032816,-0.00027544,-0.0012909
JennifersBody_005841913_00000036.mat,3,-0.0042122,0.0067433,-0.0091902,0.017406,-0.0051562,0.002592,0.011753,-0.0044025,0.0044471,-0.0099526
JennifersBody_010242118_00000001.mat,3,-0.0046061,0.0078916,-0.0081494,0.0015256,0.0040752,-0.0042467,0.008461,0.005165,0.0065579,0.000188
JennifersBody_012514049_00000026.mat,3,-0.0025086,0.047812,0.013461,0.015599,0.00043063,0.004514,-0.010114,0.0018718,0.0028977,0.0033916
JennifersBody_012514049_00000048.mat,3,0.022519,0.033729,0.01187,0.0085461,-0.0045083,0.0099327,-0.0031395,0.0017839,-0.0042526,0.0060573
MissMarch_003858160_00000030.mat,3,-0.0007838,0.0062569,0.0034306,-0.0071253,-0.008618,0.010747,4.17E-06,-0.0047306,-0.0073485,-0.00043816
OceansEleven_011508080_00000018.mat,3,0.00191,0.00085116,0.0038482,-0.004556,0.00082131,-0.0062526,0.0014572,0.0033013,0.0040913,-0.00081728
OceansEleven_012743760_00000001.mat,3,-0.0023192,0.0045645,-0.0031896,0.00049624,0.013622,-0.0095446,0.00020051,0.0035067,0.0017648,-0.00073891
OceansThirteen_014012360_00000031.mat,3,-0.0066602,0.023776,-0.0027606,0.034803,0.0019146,-0.0085148,-0.0094339,0.0019772,0.002155,-0.0044004
OceansTwelve_000152960_00000024.mat,3,-0.0036446,0.015319,-0.0072536,0.0075801,-0.0059772,0.0054554,0.012581,0.01228,0.0034164,-0.0084193
OceansTwelve_000540800_00000021.mat,3,-0.0043091,-0.0078462,-0.010634,0.0087277,-0.0084853,0.012882,-0.002087,-0.0011093,0.0025703,0.0022922
OceansTwelve_000552400_00000024.mat,3,-0.0023719,-0.006581,-0.00054376,-0.0026023,-0.00022671,0.007139,0.0052941,0.0043451,-0.0082217,-0.00072335
OceansTwelve_000552400_00000036.mat,3,-0.0028404,-0.007489,0.00098681,-0.0041998,0.0060187,0.0075783,0.00073668,0.0043997,-0.00092049,0.0014715
OceansTwelve_002551440_00000064.mat,3,-0.0016342,0.0057472,-0.0065387,-0.0038657,0.0017953,0.0073639,-0.0088444,0.002259,0.0027578,-0.00087788
OceansTwelve_011845760_00000013.mat,3,-0.0024958,0.0009175,0.0058491,0.0020245,0.0074911,-0.0075459,-0.0040771,0.0051983,0.0018602,-0.0040144
OceansTwelve_011847320_00000054.mat,3,0.00040714,0.00019774,0.0078371,-0.00072478,0.0089032,-0.0068738,-0.0042915,0.0055853,-0.00029725,-0.0025553
OneFlewOverCuckooNest_002020680_00000001.mat,3,-0.0013638,0.0068192,-0.0040284,-0.0032327,0.0022859,0.0056964,-0.0067744,0.001948,-0.0034495,0.00029329
TheEye_003639560_00000031.mat,3,-0.0034696,0.01852,-0.0082152,-0.00057772,-0.0018356,0.00084923,0.0051181,-0.0045077,0.0040298,-0.0026476
TheShining_004601560_00000046.mat,3,-0.001888,0.010441,-0.0011081,-0.00446,1.76E-05,0.0059896,0.0039676,-0.0013902,-0.0047144,-0.0031829
TheShining_004603760_00000010.mat,3,-0.00084878,0.0083648,-0.00022506,-0.0063663,0.0011259,0.0040485,0.0023732,-0.0018686,-0.0050803,-0.0026725
TheShining_004603760_00000043.mat,3,-0.0003164,0.0065316,0.00074448,-0.0081161,0.001084,0.0038662,0.0029622,-0.0048424,-0.00403,-0.0024651
ThereIsSomethingAboutMary_013736360_00000003.mat,3,-0.0014033,0.014091,0.010463,0.0056504,0.011031,-0.0089082,-0.0033407,-0.0023947,0.00018096,-0.0021078
ThereIsSomethingAboutMary_013736360_00000009.mat,3,-0.0016168,0.017118,0.01573,0.0074598,0.00945,0.00043504,-0.0098469,-0.00048594,-0.0010292,0.003675
ThereIsSomethingAboutMary_013736360_00000052.mat,3,-0.0022294,0.019131,0.011988,0.0036003,0.0098396,-0.0039107,-0.0026553,-0.0014552,-0.0019993,0.0052206
Town_011345040_00000001.mat,3,-0.0005315,0.029807,0.0080799,0.0021287,-0.010767,-0.0051257,0.0011301,-0.00012423,0.0011002,0.014292
Town_011345040_00000057.mat,3,-0.0011442,0.01631,0.0063195,-0.0039908,-0.0024594,-0.0068018,-0.0041724,0.001791,0.00066254,0.010622
WrongTurn3_004853480_00000050.mat,3,-0.00091535,0.015988,0.004833,0.0010285,-0.01141,-0.0057428,0.0041327,0.0060967,0.0065715,0.00943
WrongTurn3_010915080_00000024.mat,3,-0.0029432,0.019306,-0.0017737,0.0037811,-0.0020708,0.0021317,-0.0015836,-0.0056844,-0.0045821,0.0041498
WrongTurn3_010915080_00000053.mat,3,-0.003054,0.015229,-0.0016151,0.00068399,-0.0044952,0.0018585,-0.0021552,-0.0029873,-0.003829,0.0028907
WrongTurn3_010924040_00000028.mat,3,-0.0035627,0.014491,-0.0020028,0.0055079,-0.0053311,-0.0060488,0.0021508,-0.0075392,0.0011162,5.59E-06
WrongTurn3_010924040_00000055.mat,3,-0.0018083,0.014715,-0.0070587,0.0080541,-0.0040101,-0.0043336,0.0046196,-0.0077491,0.00048605,0.0017756
YouveGotAMail_000856334_00000001.mat,3,-0.00025327,0.0069105,0.0038162,-0.015277,-0.0043888,0.002198,-0.00049441,-0.0023917,-0.01065,-0.0058434
YouveGotAMail_002551974_00000007.mat,3,-0.0039657,-0.001866,-0.0076489,-0.0045303,0.0045515,-0.0073068,0.003267,-0.0040686,0.0059441,0.0034442
50_50_001805320_00000009.mat,4,-0.0048281,-0.014499,-0.010844,-0.0016896,0.0098213,0.0028486,0.0086721,0.0070292,-0.00087566,0.0090682
ACaseofYou_000608400_00000006.mat,4,-0.0057677,0.0027129,-0.020019,0.012543,0.0061361,-0.0019788,0.0069278,-0.0021141,0.0075069,-0.0017632
AlexEmma_000548800_00000021.mat,4,-4.22E-06,-0.0054096,-0.0024294,-0.013416,-0.0027531,-0.00089387,0.0055428,0.0016128,-0.0085465,0.0010912
AlexEmma_000654320_00000001.mat,4,-0.0043366,0.029579,-0.0097709,-0.0028625,0.0022516,-0.0032854,0.003638,0.0085715,0.0011831,0.011119
AlexEmma_001305160_00000013.mat,4,-0.0033735,-0.0028734,0.0076019,0.01449,-0.002726,-0.0005231,-0.0011773,0.0029251,-0.0035387,0.010326
AlexEmma_002701320_00000085.mat,4,-0.0037699,-0.013141,-0.006308,-0.0059573,0.0028996,0.0026293,-0.0015113,0.005491,-0.005014,0.0017694
AlexEmma_002701320_00000102.mat,4,-0.0048918,-0.016426,-0.0077729,-0.0027923,0.008332,0.0058924,0.0016985,-0.0053784,-0.0016501,0.0034927
AlexEmma_003029120_00000030.mat,4,-0.0021,-0.0010799,0.0088994,-0.0011296,0.0048292,0.010648,-2.41E-05,-0.00652,-0.0024447,0.0042806
AlexEmma_003322120_00000035.mat,4,-0.0020698,-0.01104,0.00080458,-0.0067063,0.0026785,0.00091694,-0.00064835,-0.0092208,0.0029938,-0.0015002
AlexEmma_003734360_00000048.mat,4,-0.0042605,0.0058581,-0.011663,-0.0039266,-0.0010216,0.0014297,-0.0026129,-0.0014666,-0.004618,-0.0014178
AlexEmma_003833320_00000023.mat,4,-0.0043226,0.014918,-0.0032794,0.0088612,-0.0043943,0.0044133,0.010564,-0.0072078,-0.0028725,0.0034976
AlexEmma_004411160_00000026.mat,4,-0.0023216,-0.010715,-0.010045,0.0040715,-0.0046586,0.006434,0.013318,-0.008662,-0.0041633,0.0017271
AlexEmma_004540160_00000042.mat,4,-0.0042906,-0.016444,0.003785,0.0005445,-0.0037928,0.0079963,0.0059503,-0.0099694,0.0049327,0.0056154
AlexEmma_005143680_00000023.mat,4,-0.0019542,-0.023464,-0.0099293,-7.64E-06,-0.01041,-0.0021807,0.0010562,-0.010237,-0.0040219,0.0034188
AlexEmma_005143680_00000079.mat,4,-0.0023681,-0.020968,-0.0051768,0.00048713,-0.0056806,-0.0046395,0.0043601,-0.010726,-0.000464,-0.00037036
Bridesmaids_000059880_00000018.mat,4,0.16525,0.0057754,0.0012746,0.0098382,-0.00091017,0.0017196,-0.010714,0.00063496,0.0019415,0.0030699
Bridesmaids_000059880_00000039.mat,4,-6.65E-05,0.016696,0.0024051,-0.0088876,0.0061932,0.0076305,-0.00042777,-0.0020771,-0.0078759,-4.52E-05
Bridesmaids_001255040_00000001.mat,4,-0.0044199,-0.022788,-0.0047396,-0.0039603,-0.0044139,-0.0050708,0.0035228,-0.0060159,-0.0012148,-0.00062634
Bridesmaids_001255040_00000017.mat,4,-0.0040584,-0.019924,-0.0025479,0.00027788,-0.00065094,-0.0062913,0.0053535,-0.0084762,-0.0013324,-0.0066489
Bridesmaids_001335200_00000001.mat,4,-0.0047558,-0.0096461,-0.0072778,0.00091878,0.0077171,0.0082879,0.0017094,-0.0075754,0.0040991,-0.0060139
Bridesmaids_001335200_00000005.mat,4,-0.0059894,-0.016169,-0.0082816,0.00070731,0.0052104,0.0027221,0.0037608,-0.007373,-0.0024426,-0.0050717
Bridesmaids_001335200_00000016.mat,4,-0.002167,-0.017818,-0.0038193,-0.0064725,0.0027377,-0.0089538,-0.00019097,-0.0022309,-0.00025955,-0.0021458
Bridesmaids_001914080_00000033.mat,4,-0.0036416,-0.0047955,-0.0039454,-0.0047458,0.0044816,-0.0014251,-0.0041883,0.0081964,-0.0010088,-0.0034852
Bridesmaids_003605560_00000001.mat,4,-0.0040584,-0.0077654,-0.0059418,0.0022369,-0.00228,-0.0053388,0.0095386,-0.0044586,-0.0004962,-0.0045467
Bridesmaids_003605560_00000017.mat,4,-0.0045169,-0.012352,-0.0033595,0.0051815,7.58E-05,-0.0054152,0.010392,0.0046335,-0.0017017,-0.0033327
Bridesmaids_015117000_00000001.mat,4,-0.0038891,0.010714,0.022109,0.01894,0.0040917,0.0029287,-0.014276,0.0114,0.00011634,0.0013961
Contraband_002503000_00000001.mat,4,-0.0012764,0.0073076,0.008437,-0.0021007,-0.0027786,0.0038151,0.004136,0.001135,0.0048383,-0.001373
DecemberBoys_001719520_00000033.mat,4,-0.0033296,-0.015125,-0.0015895,0.0044734,0.014786,-0.0059834,-0.010058,0.0065712,-0.0028032,-0.0054974
DecemberBoys_001924200_00000038.mat,4,-0.0035708,-0.01585,0.00014492,0.0052066,0.011848,-0.009352,-0.0023196,-0.0029669,9.04E-05,0.0021704
DecemberBoys_001941000_00000001.mat,4,-0.003167,-0.0027099,-0.0047848,-0.0041074,0.006645,0.008317,-0.0058161,0.00052411,-0.00029731,-0.0042211
DeepBlueSea_002026400_00000110.mat,4,-0.0025411,-0.0069404,0.0080052,-0.005311,-0.0032013,0.0064902,0.004058,-0.0050105,-0.002697,0.0012873
DeepBlueSea_002031240_00000069.mat,4,-0.00060298,0.046102,0.0028367,-0.0024515,0.00052455,0.003201,-0.007518,-0.005397,-0.0054994,0.001805
DeepBlueSea_002031240_00000090.mat,4,-0.00034935,0.044041,0.0015312,-0.0081412,0.00080974,0.00073635,-0.0046948,-0.0062284,-0.0041822,0.0011257
GirlWithAPearlEarring_003311120_00000044.mat,4,-0.0035676,-0.015441,0.0091512,0.013916,0.0053881,0.003744,0.0025757,-0.011125,2.10E-05,-0.0030984
GirlWithAPearlEarring_010643040_00000021.mat,4,0.00055486,-0.0033775,0.010907,-0.0033309,0.0041042,0.010836,-0.0032711,0.00078281,0.0012098,-0.0011361
HalfLight_002240480_00000011.mat,4,-0.0030287,-0.01786,-0.0060917,-0.0093718,0.0091898,-0.0027358,6.30E-05,-0.0068666,-0.0052906,-0.0049409
HalfLight_002400680_00000018.mat,4,-0.0046203,-0.012837,-0.0054189,0.011075,-0.013821,0.0044486,0.010158,0.0026673,0.0058107,-0.0068787
HarryPotterAndOrderOPhoenix_002214494_00000066.mat,4,-0.0048255,-0.0046571,-0.012389,0.0017656,0.013097,-0.001971,-0.0015527,-0.015021,0.0043814,-0.0017399
HarryPotter_Deathly_Hallows_1_010156240_00000001.mat,4,-0.005178,0.00011652,-0.019835,-0.00097393,0.0042424,-0.010477,-0.00627,0.0035951,0.00083975,-0.0066296
HarryPotter_Deathly_Hallows_1_011317280_00000001.mat,4,-0.0024353,0.018339,-0.0048132,-0.013612,0.0069966,0.0037936,-0.0025482,0.0089089,-0.0036277,0.00020664
HarryPotter_Half_Blood_Prince_001259094_00000033.mat,4,0.094845,0.0058091,0.00027736,0.014657,-0.014278,0.0074502,-0.0086942,0.0082092,0.0031663,-0.00054284
HarryPotter_Half_Blood_Prince_005745534_00000016.mat,4,-0.0045765,0.048199,0.0031982,0.0014639,0.0002785,0.0029439,-0.0084223,0.0045697,-0.0037432,0.0050321
HarryPotter_Half_Blood_Prince_005937334_00000027.mat,4,-0.0029964,-0.013531,-0.0057706,-0.0061302,-0.001727,0.0061818,-0.0036658,0.001379,0.0042727,0.0041035
HarryPotter_Half_Blood_Prince_005938934_00000045.mat,4,-0.0056358,-0.0037595,-0.0087792,0.010621,0.003466,-0.014083,-0.0035565,-0.0019987,-0.00090541,-0.0070528
HarryPotter_PhilosopherStone_004355094_00000034.mat,4,-0.0029525,-0.025143,0.0019122,0.0064581,-0.0010285,-0.0010093,0.0048281,-0.0031266,-0.00017053,-0.0024703
IAmSam_004235880_00000064.mat,4,-0.0017932,-0.0035148,0.012142,-0.0055695,0.0037178,-0.0036654,-0.0030247,0.0043334,-0.0014737,0.0018196
ItsComplicated_000836607_00000001.mat,4,-0.00019509,-0.002159,0.0067163,-0.0023915,-0.0031173,0.0041122,-0.0093137,-0.0018117,0.00042581,0.0051227
ItsComplicated_000857887_00000001.mat,4,-0.00077344,-0.010238,0.0032819,-0.0065439,-0.00048277,-0.00088501,0.0031063,-0.0034182,-0.010003,-0.0008501
